----------------------------------------
Begin PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
Job ID:		86426087.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
----------------------------------------
PHiPerSolver available.
Max OMP threads = 1
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
266 KSP Residual norm 2.708640254244e-06 
267 KSP Residual norm 2.662368431998e-06 
268 KSP Residual norm 2.617002202718e-06 
269 KSP Residual norm 2.572518387055e-06 
270 KSP Residual norm 2.528894639588e-06 
271 KSP Residual norm 2.486109407906e-06 
272 KSP Residual norm 2.444141898708e-06 
273 KSP Residual norm 2.402972040724e-06 
274 KSP Residual norm 2.362580453823e-06 
275 KSP Residual norm 2.322948417022e-06 
276 KSP Residual norm 2.284057838107e-06 
277 KSP Residual norm 2.245891228958e-06 
278 KSP Residual norm 2.208431674045e-06 
279 KSP Residual norm 2.171662809756e-06 
280 KSP Residual norm 2.135568797700e-06 
281 KSP Residual norm 2.100134303884e-06 
282 KSP Residual norm 2.065344475447e-06 
283 KSP Residual norm 2.031184921937e-06 
284 KSP Residual norm 1.997641694528e-06 
285 KSP Residual norm 1.964701268468e-06 
286 KSP Residual norm 1.932350525201e-06 
KSP final norm of residual 0.000983387
KSP Object: 1 MPI processes
  type: richardson
    Richardson: damping factor=1
  maximum iterations=500, initial guess is zero
  tolerances:  relative=1e-07, absolute=1e-50, divergence=10000
  left preconditioning
  using PRECONDITIONED norm type for convergence test
PC Object: 1 MPI processes
  type: shell
    Shell: FGPILU
  linear system matrix = precond matrix:
  Mat Object:   1 MPI processes
    type: seqaij
    rows=195112, cols=195112
    total: nonzeros=1.3456e+06, allocated nonzeros=1.3456e+06
    total number of mallocs used during MatSetValues calls =0
