----------------------------------------
Begin PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
Job ID:		86431635.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
----------------------------------------
Max OMP threads = 4
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
224 KSP Residual norm 5.970416183259e-06 
225 KSP Residual norm 5.844065895706e-06 
226 KSP Residual norm 5.721347828470e-06 
227 KSP Residual norm 5.602272756984e-06 
228 KSP Residual norm 5.486531929900e-06 
229 KSP Residual norm 5.374050282098e-06 
230 KSP Residual norm 5.264695569813e-06 
231 KSP Residual norm 5.158412871869e-06 
232 KSP Residual norm 5.054913320554e-06 
233 KSP Residual norm 4.954244079041e-06 
234 KSP Residual norm 4.856257052971e-06 
235 KSP Residual norm 4.760838453511e-06 
236 KSP Residual norm 4.667907775943e-06 
237 KSP Residual norm 4.577367893451e-06 
238 KSP Residual norm 4.489167685006e-06 
239 KSP Residual norm 4.403107996444e-06 
240 KSP Residual norm 4.319240070219e-06 
241 KSP Residual norm 4.237435957314e-06 
242 KSP Residual norm 4.157625744121e-06 
243 KSP Residual norm 4.079737478207e-06 
244 KSP Residual norm 4.003710885744e-06 
245 KSP Residual norm 3.929482936996e-06 
246 KSP Residual norm 3.856993029739e-06 
247 KSP Residual norm 3.786177898782e-06 
248 KSP Residual norm 3.716991794148e-06 
249 KSP Residual norm 3.649382530742e-06 
250 KSP Residual norm 3.583302730492e-06 
251 KSP Residual norm 3.518661059982e-06 
252 KSP Residual norm 3.455076279526e-06 
253 KSP Residual norm 3.393705203679e-06 
254 KSP Residual norm 3.333248734569e-06 
255 KSP Residual norm 3.274097839624e-06 
256 KSP Residual norm 3.216207287466e-06 
257 KSP Residual norm 3.159544980806e-06 
258 KSP Residual norm 3.104080724047e-06 
259 KSP Residual norm 3.049161899837e-06 
260 KSP Residual norm 2.996593248733e-06 
261 KSP Residual norm 2.944491745275e-06 
262 KSP Residual norm 2.893035700564e-06 
263 KSP Residual norm 2.843476022291e-06 
264 KSP Residual norm 2.794475162281e-06 
265 KSP Residual norm 2.746462719037e-06 
266 KSP Residual norm 2.699401282374e-06 
267 KSP Residual norm 2.653267369846e-06 
268 KSP Residual norm 2.608036058535e-06 
269 KSP Residual norm 2.563687934816e-06 
270 KSP Residual norm 2.520197509951e-06 
271 KSP Residual norm 2.477549726812e-06 
272 KSP Residual norm 2.435707835958e-06 
273 KSP Residual norm 2.394663003173e-06 
274 KSP Residual norm 2.354397326152e-06 
275 KSP Residual norm 2.314889468330e-06 
276 KSP Residual norm 2.276120615546e-06 
277 KSP Residual norm 2.238072937118e-06 
278 KSP Residual norm 2.200735242800e-06 
279 KSP Residual norm 2.164082856102e-06 
280 KSP Residual norm 2.128105766928e-06 
281 KSP Residual norm 2.092785539655e-06 
282 KSP Residual norm 2.058108259237e-06 
283 KSP Residual norm 2.024060419681e-06 
284 KSP Residual norm 1.990627484030e-06 
285 KSP Residual norm 1.957794825693e-06 
286 KSP Residual norm 1.925541144617e-06 
KSP final norm of residual 0.000979986
KSP Object: 1 MPI processes
  type: richardson
    Richardson: damping factor=1
  maximum iterations=500, initial guess is zero
  tolerances:  relative=1e-07, absolute=1e-50, divergence=10000
  left preconditioning
  using PRECONDITIONED norm type for convergence test
PC Object: 1 MPI processes
  type: shell
    Shell: FGPILU
  linear system matrix = precond matrix:
  Mat Object:   1 MPI processes
    type: seqaij
    rows=195112, cols=195112
    total: nonzeros=1.3456e+06, allocated nonzeros=1.3456e+06
    total number of mallocs used during MatSetValues calls =0
      not using I-node routines
Number of KSP iterations = 286
KSP residual norm = 0.000002
h and error: 0.092216  0.007443
log h and log error: -1.035193  -2.128263
cleanup_fgpilu(): All done.
----------------------------------------
Begin PBS Epilogue Tue Apr  4 17:04:12 EDT 2017 1491339852
